formula,defectid,site,Eb_sum,Vr_max,Eg,Ev,Ehull
Al2O3,0009540,1,10.268287578405296,-2.8945619964631555,5.8646,6.995,0.0
Al2O3,0009576,1,10.268287578405296,-2.8945619964631555,5.8647,6.995,0.0
Ba1O1,0009594,1,10.180656153899415,-2.8403280769497066,2.095,5.6919,0.0
Ca1O1,0009596,1,11.020274752984376,-3.2905001259273035,3.6404,6.9863,0.0
Co3O4,0009648,1,,-1.2318970816502175,1.6478,4.1201,0.0
Fe1O1,0009684,1,,-1.41,1.089,5.0763,0.0
Fe2O3,0009808,1,7.862946519378256,-1.2626789622871115,1.8317,3.5343,0.0
In2O3,0009889,1,7.332995864895067,-1.5993795332042406,0.9505,3.7275,0.0
Mg1O1,0009973,1,10.345144576146483,-3.116950431898758,4.4752,6.8887,0.0
Ni1O1,0010021,1,9.524315417058364,-1.242157708529182,2.3894,3.7973,0.0
O1Sr1,0010079,1,10.455647588229251,-3.0678237941146254,3.2796,6.5707,0.0
Co1O1,0010389,1,6.2788677084956195,-1.2318970816502175,1.0462,4.2751,0.0020999999999999908
Mn1O1,0010438,1,6.3394715728709885,-1.994603679653242,0.7035,4.4315,0.0015999999999998238
Co1O1,0010528,1,6.3023912519392935,-1.2318970816502175,1.2341,4.3434,0.0
O2Ti1,0010549,1,9.809503279753725,-1.9122077365342869,2.2705,4.9268,0.0
Mn1O1,0010576,1,6.322739833066846,-1.994603679653242,0.8642,4.4297,0.0
O2Ti1,0010720,1,9.898421478632224,-1.9122077365342869,1.9186,4.9636,0.02090000000000014
O2Ti1,0010731,1,6.6109353422456865,-1.9122077365342869,3.3933,5.9328,0.08420000000000005
Mn1O2,0011671,1,6.759374010733628,-0.433744681701679,0.1764,2.0859,0.021099999999999897
O2Ti1,0011764,1,9.57519283955455,-1.9122077365342869,2.2989,4.9109,0.013199999999999878
O2Ti1,0011764,2,9.715280548075938,-1.9122077365342869,2.2989,5.3669,0.013199999999999878
La2O3,0111542,1,11.622162175102517,-3.100471243274967,3.4842,6.5007,0.0
Mn1O2,0125667,1,6.752275983366629,-0.433744681701679,1.3886,2.7443,0.0
Mn1O2,0125667,2,6.755372855323326,-0.433744681701679,1.3886,2.145,0.0
Co1O2,0187243,1,,,1.2038,1.7236,0.0
Fe3O4,0191339,1,,-1.2626789622871115,0.0471,3.3108,0.0
Fe3O4,0191339,2,,-1.2626789622871115,0.0471,3.3922,0.0
Ce1O2,0289838,1,10.41059977213275,-1.974911567461291,2.0527,3.5104,0.0
Ce2O3,0289862,1,17.54628797680421,-3.108762658934736,1.4514,6.4062,0.0
Ce2O3,0289862,2,11.466100888257406,-3.108762658934736,1.4514,6.6495,0.0
La2O3,0289934,1,17.6714137298249,-3.100471243274967,4.0199,6.3604,0.027499999999999858
La2O3,0289934,2,11.574278814228862,-3.100471243274967,4.0199,6.7049,0.027499999999999858
Nb2O5,0290102,1,9.565386011432926,-1.6041816447738562,2.6936,5.3318,0.0035000000000002807
Nb2O5,0290102,2,9.030626448433102,-1.6041816447738562,2.6936,4.7876,0.0035000000000002807
Nb2O5,0290102,3,13.302689636325155,-1.6041816447738562,2.6936,5.8008,0.0035000000000002807
Nb2O5,0290125,1,9.565386011432926,-1.6041816447738562,2.0917,5.8598,0.0
Nb2O5,0290125,2,13.689966872977166,-1.6041816447738562,2.0917,5.3219,0.0
Nb2O5,0290125,3,8.738716730078165,-1.6041816447738562,2.0917,4.3313,0.0
O3Y2,0290296,1,11.90987931485427,-3.290655589970924,3.7932,6.5735,0.0
