formula,defectid,site,Eb_sum,Vr_max,Eg,Ev,Ehull
Al2Co1O4,0009491,1,9.53490345513868,-1.2318970816502175,3.1976,6.2195,0.0
Al2Mg1O4,0009494,1,9.57829175961136,-2.8945619964631555,5.1431,6.8115,0.0
Al2Ni1O4,0009499,1,9.044684796584827,-1.242157708529182,2.6004,6.2466,0.0
Al2Ni1O4,0009499,2,7.907089281984362,-1.242157708529182,2.6004,5.5104,0.0
Al2O3,0009540,1,10.268287578405301,-2.8945619964631555,5.8646,6.995,0.0
Al2Mn1O4,0009572,1,9.562364914962588,-1.994603679653242,3.0524,6.1385,0.0
Al2O3,0009576,1,10.268287578405301,-2.8945619964631555,5.8647,6.995,0.0
Ba1O1,0009594,1,10.1806561538994,-2.8403280769497066,2.095,5.6919,0.0
Ca1O1,0009596,1,11.02027475298438,-3.2905001259273035,3.6404,6.9863,0.0
Co3O4,0009648,1,,-1.2318970816502175,1.6478,4.1201,0.0
Fe1O1,0009684,1,8.988367343211575,-1.41,1.089,5.0763,0.0
Fe2Mg1O4,0009694,1,7.529079695394303,-1.2626789622871115,1.3811,4.2252,0.04170000000000007
Fe2O3,0009808,1,7.862946519378246,-1.2626789622871115,1.8317,3.5343,0.0
In2Mn1O4,0009859,1,6.87037770017205,-1.5993795332042406,1.035,4.2135,0.0
In2O3,0009889,1,7.332995864895065,-1.5993795332042406,0.9505,3.7275,0.0
Co1In2O4,0009921,1,6.919981119195061,-1.2318970816502175,1.0102,4.052,0.0
In2Mg1O4,0009931,1,6.7061022156494285,-1.5993795332042406,1.8489,4.4126,0.0
In2Ni1O4,0009944,1,7.039773496291097,-1.242157708529182,0.4499,3.6058,0.0
In2Ni1O4,0009944,2,6.794777352351572,-1.242157708529182,0.4499,3.4805,0.0
Mg1O1,0009973,1,10.34514457614648,-3.116950431898758,4.4752,6.8887,0.0
Ni1O1,0010021,1,9.524315417058359,-1.242157708529182,2.3894,3.7973,0.0
O1Sr1,0010079,1,10.45564758822924,-3.0678237941146254,3.2796,6.5707,0.0
Ba1O3Ti1,0010375,1,8.74095775041371,-1.9122077365342869,1.8599,5.3369,0.0
Ba1O3Ti1,0010375,2,9.79646351652415,-1.9122077365342869,1.8599,5.4037,0.0
Co1O1,0010389,1,6.278867708495606,-1.2318970816502175,1.0462,4.2751,0.0020999999999999908
Mn1O1,0010438,1,6.339471572871,-1.994603679653242,0.7035,4.4315,0.0015999999999998238
Co1O1,0010528,1,6.30239125193928,-1.2318970816502175,1.2341,4.3434,0.0
O3Sr1Ti1,0010541,1,9.974515063486352,-1.9122077365342869,1.9408,5.396,0.0
O2Ti1,0010549,1,9.809503279753722,-1.9122077365342869,2.2705,4.9268,0.0
Mn1O1,0010576,1,6.322739833066858,-1.994603679653242,0.8642,4.4297,0.0
O2Ti1,0010720,1,9.898421478632223,-1.9122077365342869,1.9186,4.9636,0.02090000000000014
O2Ti1,0010731,1,6.610935342245685,-1.9122077365342869,3.3933,5.9328,0.08420000000000005
Mg1Mn2O4,0011233,1,7.172572426286051,-0.5156224113418986,1.4257,4.1736,0.0
Fe2Ni1O4,0011580,1,7.714190344060777,-1.242157708529182,1.2021,3.7345,0.1060000000000001
Fe2Ni1O4,0011580,2,7.719993177571359,-1.242157708529182,1.2021,3.5181,0.1060000000000001
Mn1O2,0011671,1,6.7593740107336195,-0.433744681701679,0.1764,2.0859,0.021099999999999897
O2Ti1,0011764,1,9.575192839554548,-1.9122077365342869,2.2989,4.9109,0.013199999999999878
O2Ti1,0011764,2,9.715280548075935,-1.9122077365342869,2.2989,5.3669,0.013199999999999878
Mn2Ni1O4,0011908,1,7.058572632919296,-0.5156224113418986,1.162,3.539,0.021600000000000064
